This is Bill Lange. I'm Dave Gallo.	大卫.盖罗：这位是比尔.兰格， 我是大卫.盖罗。
We kind of see ourselves separate, but we're very much a part of it.	我们自视我们彼此是分开的，但我们也是那其中的一体。
You see, we have to come to understand that less value, property and objectification is the foundation and the violence can't happen without it.	我们要理解 价值较小，象征财富和性猎物的女人也是社会中的一体， 并且停止暴力也离不开这种认同感。
So we're very much a part of the solution as well as the problem.	所以我们是这解决方案的一部分 就像这问题一样。
The center for disease control says that men's violence against women is at epidemic proportions, is the number one health concern for women in this country and abroad.	疾病预防控制中心说， 从流行病的程度看，男人对女人的暴力 是一件关注女人健康的头等事 无论在国内或是国外。
So quickly, I'd like to just say, this is the love of my life, my daughter Jay.	简言之，我想说， 我女儿杰伊是我生命中的全部爱。
The world I envision for her -- how do I want men to be acting and behaving?	我为她而设想的世界， 我想要男人怎样去做和做个好男人呢？
I need you on board. I need you with me.	我需要男人们和我在一起，协同一致。
I need you working with me and me working with you on how we raise our sons and teach them to be men -- that it's okay to not be dominating, that it's okay to have feelings and emotions, that it's okay to promote equality, that it's okay to have women who are just friends and that's it, that it's okay to be whole, that my liberation as a man is tied to your liberation as a woman.	我需要男人们和我一同努力 抚养我们的儿子 教育他们成为一个男人-- 男人不必像大男子一样主宰一切， 男人要有感情和感性化， 男人要促进男女平等， 男人视女人为朋友，就这么简单，而不是性猎物， 男人和女人同为一体， 我做为男人的自由 也赋予了你们做为女人的自由。
I remember asking a nine-year-old boy, I asked a nine-year-old boy, "What would life be like for you, if you didn't have to adhere to this man box?"	我记得问过一个九岁男孩。 我问他， "假如你从这个男性束缚中解脱出来， 生命对你意味着什么？"
He said to me, "I would be free."	他说："我将会自由"。
Thank you folks.	谢谢大家。
Ten years ago, on a Tuesday morning, I conducted a parachute jump at Fort Bragg, North Carolina.	十年前，周二的早上 我在北卡罗纳州的Fort Bragg讲述跳伞
It was a routine training jump, like many more I'd done since I became a paratrooper 27 years before.	这是一次例行的跳伞练习 像我以往做过的很多的培训一样 自从我成为专业的跳伞者后 27年之前
We went down to the airfield early because this is the Army and you always go early.	我们很早就来到飞机场 因为在军队 你需要很早出行
You do some routine refresher training, and then you go to put on your parachute and a buddy helps you.	你做了一些例行的恢复训练 接着你背上你的跳伞包 ,一个伙伴会帮你
And you put on the T-10 parachute.	你背上T10的跳伞包
And you're very careful how you put the straps, particularly the leg straps because they go between your legs.	你要很小心绑上安全皮带 尤其是腿的皮带 因为你需要绑在你两腿之间
And then you put on your reserve, and then you put on your heavy rucksack.	接着穿上你的后备装置，接着背上你很重的帆布包
And then a jumpmaster comes, and he's an experienced NCO in parachute operations.	接着跳伞专家也来了 他是在跳伞操作方面很有经验的NCO
He checks you out, he grabs your adjusting straps and he tightens everything so that your chest is crushed, your shoulders are crushed down, and, of course, he's tightened so your voice goes up a couple octaves as well.	他来跟你做检查，他拿着你调整安全皮带 接着他绑紧所有东西 所以你的胸部有些挤压感 你肩膀也被压住 当然，因为他绑得很紧 所以你的声音会提高几个八度
Then you sit down, and you wait a little while, because this is the Army.	接着你坐下来，等一段时间 因为这是军队里
Then you load the aircraft, and then you stand up and you get on, and you kind of lumber to the aircraft like this, in a line of people, and you sit down on canvas seats on either side of the aircraft.	接着要把你装到飞机里， 你站起来上飞机 你在飞机中好像木头一样,人们排成了一列 你坐在分列在飞机两旁的帆布座位上
And you wait a little bit longer, because this is the Air Force teaching the Army how to wait.	你要等候较长一段时间 因为空军会告诉军队如何去等待
Then you take off.	接着你就起飞了
And it's painful enough now -- and I think it's designed this way -- it's painful enough so you want to jump.	这已经足够痛苦了 我想就是这样设计的 这非常痛苦 你很想跳下去
You didn't really want to jump, but you want out.	你不是真的想跳下去 你只是想离开
So you get in the aircraft, you're flying along, and at 20 minutes out, these jumpmasters start giving you commands.	所以当你进入到飞机 你需要一直飞行 接着20分钟过后 这些跳伞专家就会给你命令
They give 20 minutes -- that's a time warning.	他们给你20分钟——这是时间的提醒
You sit there, OK.	你做在那里， 好的
Then they give you 10 minutes.	接着他们给你10分钟的提醒
And of course, you're responding with all of these.	当然， 你要对这些做出回答
And that's to boost everybody's confidence, to show that you're not scared.	这是为了建立每一个人的信心，告诉你不要害怕
Then they give you, "Get ready."	他们给你提示，"准备好了。"
Then they go, "Outboard personnel, stand up."	接着他们说，"外舱的人员，请站起来。"
If you're an outboard personnel, now you stand up.	如果你是外舱的人员，你就要站起来。
If you're an inboard personnel, stand up.	如果你是内舱的人员，站起来。
And then you hook up, and you hook up your static line.	你要用钩挂住，你钩在固定的拉线上。
And at that point, you think, "Hey, guess what?	在那一刻，你想："接下来会发生什么事情了？"
I'm probably going to jump.	我很可能准备跳下去。
There's no way to get out of this at this point."	但在这一刻你绝对不能这样就跳出去。"
You go through some additional checks, and then they open the door.	你需要做额外的一些检查，接着他们打开舱门。
