1929 or 1989?	1929年还是1989年?
In the last two years, Japan’s stock market has almost doubled in value, increasing the wealth of Japanese consumers.	在过去两年中，日本股票市场的市值几乎翻了一倍，使消费者的财富得到了增长。
Moreover, the yen has fallen by nearly one-third against the US dollar, from around ¥80 to nearly ¥120 per dollar, invigorating Japan’s export industries.	此外，日元对美元贬值了近三分之一，从原来的约80日元兑1美元下降到近120日元，令日本的出口工业蓬勃发展。
Even more encouraging are developments in the labor market, which, unlike those in asset markets, reflect outcomes, not expectations.	更令人鼓舞的则是劳动力市场的变化发展，跟资产市场不同的是，这反映出了结果，而非仅仅是预期。
Here, too, the news is good.	在这方面形势也十分喜人。
The labor market has tightened, with unemployment standing at 3.5% and the job-to-applicant ratio above parity.	劳动力市场得到了巩固，失业率维持在3. 5%，而职位和求职者的比率则高于1。
To be sure, there have been some setbacks: Japan’s GDP shrank in the second and third quarters of 2014.	无可否认，这其中还存在的一些挫折：日本的GDP在第二和第三季度出现了收缩。
But the downturn, which resulted from April’s consumption-tax hike – from 5% to 8% – cannot be blamed on Abenomics.	但这一由于四月份提升消费税（从5%提到8%）所导致的下滑状况不能归罪于安倍经济学。
Indeed, Abe was honoring a law enacted by the previous government, led by the Democratic Party of Japan.	事实上，安倍只是在遵从由上届日本民主党政府所通过的一项法律而已。
The first two arrows of Abenomics were aimed at stimulating demand – and they were extremely effective.	安倍经济学的头两支箭都旨在刺激需求——而且也极为有效。
The consumption-tax hike was needed to sustain them in flight. Unfortunately, the hike was too large to keep them aloft.	同时也需要提升消费税来维持这两支箭的顺利飞行，但不幸的是，此次提升的幅度过大，反而对这两项政策造成了阻碍。
The good news is that the tax hike’s impact is temporary. Soon, it will begin to taper off, and industrial output will approach full capacity.	好消息是增税的影响只是暂时的，并将很快开始逐渐消失，而工业产量则会接近满负荷。
When demand begins to exceed supply, demand-side stimulus policies will become increasingly ineffective, and it will be time to launch the third arrow of Abenomics: growth-enhancing structural reforms.	当需求开始超过供给的时候，需求端的刺激政策将逐渐变得无效，是时候射出安倍经济学的第三支箭：强化增长的结构性改革。
Such reforms are essential to raise productivity growth and improve the Japanese economy’s competitiveness.	为了提升生产力增长并改善日本的经济竞争力，这类改革极有必要。
Four imperatives stand out.	而其中则凸显出四项要点：
The first task should be to eliminate – or, at least, reduce – the thicket of government regulations that is stifling economic dynamism.	首要任务应当是消除——或至少要减少——遏制经济活力的一大堆政府管制。
The current system is so convoluted and complex that it took more than three decades to open a new medical school in Tokyo.	现行的系统是如此的繁琐复杂，以致在东京开设一所新医学院需要花费超过30年时间。
Likewise, flights to Haneda airport, a convenient connection to the Tokyo city area, have been rationed.	同样，飞往羽田机场这个通往东京市区的便利转接点的航班也受到限制。
